lon,lat,vs30,z1pt0
81.55049,30.36128,7.600000E+02,100
81.75894,30.36128,7.600000E+02,100
81.96739,30.36128,7.600000E+02,100
80.92323,30.18141,7.600000E+02,100
81.13130,30.18141,7.600000E+02,100
81.33937,30.18141,7.600000E+02,100
81.54744,30.18141,7.600000E+02,100
81.75551,30.18141,7.600000E+02,100
81.96358,30.18141,7.600000E+02,100
82.17165,30.18141,7.600000E+02,100
80.71364,30.00155,7.600000E+02,100
80.92133,30.00155,7.600000E+02,100
81.12903,30.00155,7.600000E+02,100
81.33672,30.00155,7.600000E+02,100
81.54441,30.00155,7.600000E+02,100
81.75210,30.00155,7.600000E+02,100
81.95980,30.00155,7.600000E+02,100
82.16749,30.00155,7.600000E+02,100
82.37518,30.00155,7.600000E+02,100
80.50483,29.82168,7.600000E+02,100
80.71214,29.82168,7.600000E+02,100
80.91946,29.82168,7.600000E+02,100
81.12678,29.82168,7.600000E+02,100
81.33410,29.82168,7.600000E+02,100
81.54141,29.82168,7.600000E+02,100
81.74873,29.82168,7.600000E+02,100
81.95605,29.82168,7.600000E+02,100
82.16337,29.82168,7.600000E+02,100
82.37069,29.82168,7.600000E+02,100
82.57800,29.82168,7.600000E+02,100
80.29677,29.64182,7.600000E+02,100
80.50371,29.64182,7.600000E+02,100
80.71066,29.64182,7.600000E+02,100
80.91760,29.64182,7.600000E+02,100
81.12455,29.64182,7.600000E+02,100
81.33150,29.64182,7.600000E+02,100
81.53844,29.64182,7.600000E+02,100
81.74539,29.64182,7.600000E+02,100
81.95234,29.64182,7.600000E+02,100
82.15928,29.64182,7.600000E+02,100
82.36623,29.64182,7.600000E+02,100
82.57318,29.64182,7.600000E+02,100
82.78012,29.64182,7.600000E+02,100
82.98707,29.64182,7.600000E+02,100
80.29603,29.46196,7.600000E+02,100
80.50261,29.46196,7.600000E+02,100
80.70919,29.46196,7.600000E+02,100
80.91576,29.46196,7.600000E+02,100
81.12234,29.46196,7.600000E+02,100
81.32892,29.46196,7.600000E+02,100
81.53550,29.46196,7.600000E+02,100
81.74208,29.46196,7.600000E+02,100
81.94866,29.46196,7.600000E+02,100
82.15523,29.46196,7.600000E+02,100
82.36181,29.46196,7.600000E+02,100
82.56839,29.46196,7.600000E+02,100
82.77497,29.46196,7.600000E+02,100
82.98155,29.46196,7.600000E+02,100
83.18813,29.46196,7.600000E+02,100
83.39470,29.46196,7.600000E+02,100
80.29530,29.28209,7.600000E+02,100
80.50151,29.28209,7.600000E+02,100
80.70773,29.28209,7.600000E+02,100
80.91394,29.28209,7.600000E+02,100
81.12015,29.28209,7.600000E+02,100
81.32637,29.28209,7.600000E+02,100
81.53258,29.28209,7.600000E+02,100
81.73880,29.28209,7.600000E+02,100
81.94501,29.28209,7.600000E+02,100
82.15122,29.28209,7.600000E+02,100
82.35744,29.28209,7.600000E+02,100
82.56365,29.28209,7.600000E+02,100
82.76986,29.28209,7.600000E+02,100
82.97608,29.28209,7.600000E+02,100
83.18229,29.28209,7.600000E+02,100
83.38851,29.28209,7.600000E+02,100
84.00715,29.28209,7.600000E+02,100
84.21336,29.28209,7.600000E+02,100
80.29458,29.10223,7.600000E+02,100
80.50043,29.10223,7.600000E+02,100
80.70628,29.10223,7.600000E+02,100
80.91213,29.10223,7.600000E+02,100
81.11799,29.10223,7.600000E+02,100
81.32384,29.10223,7.600000E+02,100
81.52969,29.10223,7.600000E+02,100
81.73554,29.10223,7.600000E+02,100
81.94140,29.10223,7.600000E+02,100
82.14725,29.10223,7.600000E+02,100
82.35310,29.10223,7.600000E+02,100
