"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"1",0.571281,2.88224,1.43178,0.793664,0.962929,6.38465,0.445352,-0.502571,7.4249,0.570166,1.02124,0.153139
"2",0.487485,2.70411,1.80735,0.760744,0.933869,6.17134,0.542138,-0.667492,6.12143,0.54476,1.21237,0.167483
"3",0.594512,2.93232,1.29003,0.78218,0.96798,5.99692,0.580116,-0.82079,6.57762,0.543312,1.26267,0.157091
"4",0.586764,2.87923,1.43405,0.786636,0.950955,6.29399,0.550639,-1.37077,6.46497,0.568229,1.05976,0.170254
"5",0.658214,2.58623,1.2237,0.797624,0.994996,6.19362,0.610418,-0.911735,6.50248,0.563378,0.883568,0.164652
"6",0.695181,2.75758,1.1575,0.808435,0.99346,6.47491,0.470854,-0.35359,6.78574,0.557797,1.10771,0.160382
"7",0.690557,2.80285,1.4662,0.787639,0.975295,5.99702,0.629438,-0.656665,6.73901,0.582299,0.872885,0.171047
"8",0.62271,2.61786,1.59669,0.794118,0.986801,6.18927,0.557525,-0.6334,6.49396,0.566837,0.974948,0.172898
"9",0.80274,2.79469,1.21962,0.766882,0.946728,6.03947,0.380971,-0.741421,7.2707,0.555451,1.13864,0.152614
"10",0.637154,2.43659,1.38114,0.793187,0.957221,6.12538,0.588852,-0.174547,7.0995,0.543816,1.29326,0.177104
"11",0.660953,2.54577,1.48833,0.779502,0.969151,5.93239,0.500568,-0.725825,6.41176,0.557142,1.1001,0.135673
"12",0.613837,2.69917,1.25512,0.806434,0.982643,5.96425,0.510673,-0.593271,6.47325,0.564393,1.00036,0.164008
"13",0.795975,3.02493,1.07881,0.802052,0.993185,6.13439,0.504169,-0.945502,6.78224,0.558943,1.04263,0.151549
"14",0.804449,2.85505,1.62527,0.760747,0.937156,5.88174,0.399423,-0.446541,7.27854,0.552556,1.19814,0.169655
"15",0.740748,2.83581,1.61602,0.775974,0.970539,5.96013,0.511376,-0.549472,7.19296,0.561543,0.979972,0.153964
"16",0.778681,2.96772,1.40604,0.767865,0.94792,6.0881,0.449812,-0.413688,6.74262,0.559035,1.09084,0.15527
"17",1.03018,3.45311,0.89084,0.813553,0.989329,6.3457,0.546524,-1.01574,6.78517,0.557656,1.17188,0.167007
"18",0.786456,3.17286,1.27729,0.797071,0.96033,6.16888,0.502248,-1.06319,6.3821,0.558363,1.20233,0.150766
"19",0.683407,3.14766,1.50339,0.75339,0.963399,6.06279,0.447117,-0.544475,6.84952,0.561059,0.911468,0.163415
"20",0.612233,2.84698,1.52683,0.817915,0.972146,6.23056,0.398759,-0.29802,7.52593,0.551092,1.07678,0.166874
"21",0.478821,2.67394,1.98401,0.791344,0.982196,6.10411,0.37472,-0.734363,7.08815,0.537558,1.19816,0.154423
"22",0.235328,1.84286,2.00782,0.811186,0.998685,6.36584,0.579146,-0.739806,6.34479,0.585884,0.906346,0.165369
"23",0.353558,2.42048,2.14176,0.744896,0.918738,6.19168,0.70956,-0.0504519,6.95176,0.543583,1.21208,0.156943
"24",0.482128,2.90372,2.02518,0.798027,0.981828,6.007,0.463747,-2.18002,6.43101,0.572163,1.0442,0.1654
"25",0.742245,3.37444,1.19624,0.788056,0.917377,5.80322,0.422603,-0.941329,7.3048,0.555927,1.18002,0.168636
"26",1.00451,3.94912,0.97232,0.792415,0.973291,6.00179,0.563825,-2.65669,6.00538,0.568688,0.888493,0.154126
"27",1.01699,3.6081,1.08707,0.786459,0.964117,6.26789,0.580932,-1.21395,6.55648,0.577545,1.0356,0.17406
"28",0.822114,3.31208,2.11471,0.782406,0.983936,6.08689,0.466923,-0.96484,6.21657,0.553584,1.02615,0.151065
"29",0.856129,3.46523,1.03753,0.757965,0.930525,5.8309,0.487571,-1.80046,6.83925,0.590972,0.689001,0.154388
"30",0.676043,2.80921,1.3629,0.797074,0.977373,6.26574,0.527277,-0.687045,6.05778,0.546368,1.14331,0.159792
"31",0.656248,2.70565,1.37126,0.818673,0.981503,5.95173,0.663324,-0.360204,6.53592,0.561144,1.16668,0.16595
"32",0.67228,2.77121,1.24449,0.806774,0.977909,5.86811,0.4224,-0.331377,7.67938,0.548062,1.1036,0.16155
"33",0.716084,2.35056,1.32941,0.791924,0.964229,6.03427,0.689225,-0.971123,6.53795,0.559784,1.13935,0.159313
"34",0.64541,2.22977,1.60954,0.834375,0.995481,6.48856,0.471341,-0.615548,7.3741,0.552143,1.23965,0.152722
"35",0.847579,2.51251,1.48078,0.771462,0.989227,6.0779,0.651513,-0.648929,6.89193,0.579871,0.794394,0.176719
"36",0.812474,2.65413,1.09451,0.807226,0.984206,6.33326,0.497723,-0.368577,7.52542,0.550904,1.2726,0.16365
