rup_mag,rup_ztor,dist_rrup,site_vs30,result_type,damping,rsd595,rsd575
7.5,0.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,0.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,5.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,5.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,5.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,5.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
4.5,10.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
5.5,10.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
6.5,10.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,1.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,10.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,20.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,50.0,180.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,1.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,10.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,20.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,50.0,360.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,1.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,10.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,20.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,50.0,500.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,1.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,10.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,20.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
7.5,10.0,50.0,800.0,TOTAL_STDDEV,5,0.47483791,0.55645436
