rup_mag,dist_rhypo,site_vs30,result_type,damping,pga,0.1,0.2,0.25,0.4,0.5,1,1.25,2
4,10,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,20,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,50,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,70,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,90,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,100,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,0.1,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,1,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,5,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,10,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,20,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,50,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,70,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,90,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,100,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,0.1,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,1,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,5,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,10,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,20,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,50,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,70,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,90,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,100,100,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,0.1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,1,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,5,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,10,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,20,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,50,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,70,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,90,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,100,600,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.2,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.4,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.6,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
3.8,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.2,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,0.1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,1,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,5,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,10,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,20,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,50,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,70,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,90,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
4.3,100,800,TOTAL_STDDEV,5,0.907,1.019,0.912,0.870,0.772,0.783,0.817,0.789,0.821
